Date,Open,High,Low,Close,Adj Close,Volume
2024-02-12,917.0,925.0,908.150024,911.25,911.25,269070.0
2024-02-13,911.0,918.549988,894.0,906.900024,906.900024,341848.0
2024-02-14,900.0,920.0,894.150024,918.299988,918.299988,524505.0
2024-02-15,924.700012,927.0,916.5,920.200012,920.200012,442218.0
2024-02-16,925.950012,948.5,925.0,938.75,938.75,566794.0
2024-02-19,945.299988,945.299988,931.049988,932.549988,932.549988,446515.0
2024-02-20,935.700012,935.700012,921.0,926.400024,926.400024,189709.0
2024-02-21,926.5,937.200012,916.549988,921.049988,921.049988,484474.0
2024-02-22,924.950012,933.849976,914.450012,932.099976,932.099976,406224.0
2024-02-23,932.900024,939.900024,929.450012,937.150024,937.150024,365771.0
2024-02-26,938.349976,944.75,931.900024,936.700012,936.700012,210657.0
2024-02-27,937.700012,965.0,935.049988,962.75,962.75,552128.0
2024-02-28,966.75,976.299988,950.150024,957.75,957.75,1122864.0
2024-02-29,959.0,959.0,943.099976,950.799988,950.799988,236483.0
2024-03-01,957.049988,979.900024,957.049988,977.200012,977.200012,1152398.0
2024-03-04,992.950012,995.75,980.0,987.200012,987.200012,655419.0
2024-03-05,1031.699951,1065.599976,1005.349976,1021.950012,1021.950012,4240454.0
2024-03-06,1029.949951,1030.599976,1009.0,1017.599976,1017.599976,1148559.0
2024-03-07,1026.849976,1046.849976,1014.0,1039.349976,1039.349976,790978.0
2024-03-11,1037.0,1037.0,1021.0,1028.0,1028.0,763675.0
2024-03-12,1028.0,1037.0,1011.200012,1016.599976,1016.599976,633568.0
2024-03-13,1017.75,1021.450012,964.0,973.049988,973.049988,1868951.0
2024-03-14,968.950012,982.0,955.900024,967.799988,967.799988,626086.0
2024-03-15,969.650024,980.0,940.099976,946.200012,946.200012,1133364.0
2024-03-18,946.0,974.400024,936.849976,972.200012,972.200012,1061895.0
2024-03-19,970.549988,970.549988,951.950012,957.549988,957.549988,273218.0
2024-03-20,961.0,965.0,921.25,940.700012,940.700012,426188.0
2024-03-21,950.099976,968.900024,945.950012,964.849976,964.849976,711890.0
2024-03-22,965.900024,986.25,950.5,979.549988,979.549988,497273.0
2024-03-26,977.5,994.950012,976.400024,986.049988,986.049988,273613.0
2024-03-27,993.200012,995.0,976.900024,978.799988,978.799988,215266.0
2024-03-28,983.400024,999.5,979.0,993.0,993.0,713326.0
